CBR rate	throughPut Cubic	 throughPut Vegas
1	4.82608032227	1.31396484375
2	4.36547851562	1.20446777344
3	3.8447265625	1.19573974609
4	3.32232666016	1.05529785156
5	2.61618041992	0.916442871094
6	2.09295654297	0.860107421875
7	1.31430053711	0.858520507812
8	0.815795898438	0.745849609375
9	0.532348632812	0.334045410156
10	0.0371398925781	0.00634765625
