CBR rate	latency for Cubic	 latency for NewReno
1	26.1699107306	21.607541784
2	27.8769582993	23.7176570328
3	32.4328034762	27.5739731101
4	31.1173754557	26.3013426434
5	34.1048300654	28.3556557377
6	36.2798647871	30.2384735695
7	36.5269012585	31.9022936466
8	36.0333456562	37.9244292822
9	34.8985429185	36.7645541958
10	37.8834716981	43.0419459459
