CBR rate	latency for Cubic	 latency for Vegas
1	28.2353895527	20.4665797101
2	29.3112240045	21.7681475626
3	30.5010387829	24.4241725282
4	34.5769600793	27.8467368421
5	35.1203677582	28.6733575758
6	38.0380539158	31.9089898524
7	38.1809912281	30.0998558226
8	34.5372512614	29.5507744681
9	36.8557171561	37.0181472684
10	33.5304347826	23.798
