time	latency
0.25	11.1560327937
0.5	11.1560327937
0.75	11.1560327937
1.0	11.1560327937
1.25	11.1560327937
1.5	11.1560327937
1.75	11.1560327937
2.0	11.1560327937
2.25	11.1560327937
2.5	11.1560327937
2.75	11.1560327937
3.0	11.1560327937
3.25	11.1560327937
3.5	11.1560327937
3.75	11.1560327937
4.0	11.1560327937
4.25	11.1560327937
4.5	11.1560327937
4.75	11.1560327937
5.0	11.1560327937
5.25	11.1560327937
5.5	11.1560327937
5.75	11.1560327937
6.0	11.1560327937
6.25	11.1560327937
6.5	11.1560327937
6.75	11.1560327937
7.0	11.1560327937
7.25	11.1560327937
7.5	11.1560327937
7.75	11.1560327937
8.0	11.1560327937
8.25	11.1560327937
8.5	11.1560327937
8.75	11.1560327937
9.0	11.1560327937
9.25	11.1560327937
9.5	11.1560327937
9.75	11.1560327937
