CBR rate	latency for Reno	 latency for Reno
1	11.2327158404	11.2478839178
2	11.2246287787	11.2559322854
3	11.2124423852	11.2624191206
4	11.2317742846	11.2765391445
5	14.8853833689	14.9396909945
6	30.9080999471	31.0178915918
7	48.6764948718	48.8432724936
8	34.9003126685	38.7873517241
9	32.4924911243	32.0276444867
10	39.7063529412	39.7688888889
