CBR rate	latency for Vegas	 latency for Vegas
1	11.0785389025	11.1360721607
2	11.1227016393	11.1869938449
3	11.0925026607	11.2018151191
4	11.0767548097	11.2189868421
5	12.3632327622	12.5235234899
6	19.8333671917	20.0685244024
7	17.0809708995	17.4284109195
8	26.9953251649	26.6663160221
9	47.4502433566	48.0713651685
10	31.5502857143	29.5466666667
