CBR rate	throughPut Cubic	 throughPut NewReno
1	4.52203369141	1.75430297852
2	4.03012084961	1.70980834961
3	3.5546875	1.62329101562
4	2.71176147461	1.65130615234
5	2.0163269043	1.60763549805
6	1.43130493164	1.51123046875
7	0.850402832031	1.54254150391
8	0.445007324219	1.15856933594
9	0.383209228516	0.470550537109
10	0.0429077148438	0.0602111816406
