time	latency
0.25	11.1476266766
0.5	11.1476266766
0.75	11.1476266766
1.0	11.1476266766
1.25	11.1476266766
1.5	11.1476266766
1.75	11.1476266766
2.0	11.1476266766
2.25	11.1476266766
2.5	11.1476266766
2.75	11.1476266766
3.0	11.1476266766
3.25	11.1476266766
3.5	11.1476266766
3.75	11.1476266766
4.0	11.1476266766
4.25	11.1476266766
4.5	11.1476266766
4.75	11.1476266766
5.0	11.1476266766
5.25	11.1476266766
5.5	11.1476266766
5.75	11.1476266766
6.0	11.1476266766
6.25	11.1476266766
6.5	11.1476266766
6.75	11.1476266766
7.0	11.1476266766
7.25	11.1476266766
7.5	11.1476266766
7.75	11.1476266766
8.0	11.1476266766
8.25	11.1476266766
8.5	11.1476266766
8.75	11.1476266766
9.0	11.1476266766
9.25	11.1476266766
9.5	11.1476266766
9.75	11.1476266766
