CBR rate	throughPut NewReno	 throughPut Vegas
1	2.04434204102	1.93524169922
2	2.04598999023	1.93286132812
3	2.04681396484	1.93206787109
4	2.04516601562	1.9296875
5	1.96853637695	1.85986328125
6	1.75347900391	1.33856201172
7	1.58291625977	0.756958007812
8	1.18081665039	0.409423828125
9	0.690551757812	0.153930664062
10	0.0371398925781	0.312622070312
