CBR rate	latency for NewReno	 latency for Vegas
1	11.1656148268	11.1576219762
2	11.1524122383	11.1697142857
3	11.1302470825	11.1776480493
4	11.1725751108	11.2324342105
5	13.5364150628	13.6646348123
6	21.7513372475	22.0966046236
7	29.6476129032	29.9790932914
8	38.914041841	38.3233643411
9	40.8020464839	41.0114896907
10	34.707826087	49.2327715736
